id,sentimento_op30,palavras_op30,sentimento_sent,palavras_sent,palavras,quant_adj_op30,quant_adj_sent
277,0,1,0,0,24,1,0
278,3,11,2,1,130,6,1
279,8,29,-3,5,244,21,4
280,-4,12,-7,5,147,7,2
281,-1,4,1,2,78,3,1
282,-2,22,-4,6,197,14,2
283,0,5,-1,2,43,5,1
284,-12,55,-4,9,395,33,9
285,0,5,-1,1,50,5,0
286,-2,9,-1,5,79,9,4
287,-2,7,1,3,107,4,2
288,2,23,2,3,138,19,3
289,4,9,4,2,59,9,2
290,-9,29,-3,6,211,24,5
291,-1,5,0,2,40,3,2
292,-2,3,2,1,51,3,1
293,1,5,-2,1,73,3,1
294,0,5,1,1,31,2,0
295,-1,24,-2,1,222,15,1
296,0,27,-3,3,162,14,2
297,3,16,4,4,125,10,4
298,7,33,4,7,307,27,5
299,-27,73,-6,17,388,46,13
300,5,12,-1,1,100,7,0
301,-2,57,5,6,383,23,3
302,-3,26,0,4,251,21,4
303,49,190,21,29,1593,125,24
304,0,3,0,0,22,0,0
305,7,27,0,0,222,14,0
306,-5,10,0,3,57,6,3
307,1,11,-1,1,74,7,0
308,3,19,0,1,227,13,1
309,5,15,0,2,74,8,2
310,-4,43,7,9,335,21,2
311,-6,43,-4,10,330,28,6
312,8,10,2,1,79,7,1
313,-6,7,-1,1,135,4,0
314,-4,16,-3,4,135,5,3
315,11,38,1,7,315,28,6
316,2,10,0,2,129,6,2
317,-5,10,-2,2,99,8,0
318,-5,32,0,1,302,28,1
319,12,14,4,2,113,11,2
320,2,48,-16,14,341,30,12
